"id","cd_kikan1","cd_kikan2","cd_kikan3","junkai_course_name","disp_order","dt_create","dt_update","dt_delete","kukan"
10001,1,5,6,"板橋巡回3",999,"2020-03-19 11:30:51.702468","2020-03-19 11:30:51.702468",NULL,NULL
145,1,2,2,"Cコース（職員巡回）",5,"2019-12-22 13:36:04.520614","2019-12-22 13:36:04.520614",NULL,NULL
144,1,1,1,"委託コース",5,"2019-12-22 13:35:08.674658","2019-12-22 13:35:08.674658",NULL,NULL
143,1,2,2,"Ｂコース（職員巡回）",4,"2019-10-21 18:00:00","2019-10-26 18:00:59.294913",NULL,NULL
142,1,2,2,"Aコース（職員巡回）",3,"2019-10-21 18:00:00","2019-10-26 18:00:59.279398",NULL,NULL
141,1,2,2,"通常コース（出口組）",2,"2019-10-21 18:00:00","2019-10-21 18:00:00",NULL,NULL
140,1,2,2,"通常コース（手塚組）",1,"2019-10-21 18:00:00","2019-10-21 18:00:00",NULL,NULL
139,1,1,1,"Dコース",4,"2019-10-15 18:00:00","2019-10-15 18:00:00",NULL,NULL
138,1,1,1,"Cコース",3,"2019-10-15 18:00:00","2019-10-15 18:00:00",NULL,NULL
137,1,1,1,"Bコース",2,"2019-10-15 18:00:00","2019-10-15 18:00:00",NULL,NULL
136,1,1,1,"Aコース",1,"2019-10-15 18:00:00","2019-10-15 18:00:00",NULL,NULL
135,1,3,3,"Ｈコース",10,"2019-10-03 19:09:17.95038","2019-10-03 19:09:17.95038",NULL,NULL
134,1,3,3,"Ｅコース",9,"2019-10-03 19:09:17.95038","2019-10-03 19:09:17.95038",NULL,NULL
133,1,3,3,"Ｂコース",8,"2019-10-03 19:09:17.95038","2019-10-03 19:09:17.95038",NULL,NULL
132,1,3,3,"Aコース",7,"2019-10-03 19:09:17.95038","2019-10-03 19:09:17.95038",NULL,NULL
131,1,3,3,"幌加内コース (R239)",6,"2019-10-03 19:09:17.95038","2019-10-03 19:09:17.95038",NULL,NULL
130,1,3,3,"幌加内コース（R275）",5,"2019-10-03 19:09:17.95038","2019-10-03 19:09:17.95038",NULL,NULL
124,1,5,6,"府中コース3",5,"2019-10-31 21:44:57.812811","2019-10-31 21:44:57.812811",NULL,"府中3"
123,1,5,6,"府中コース2",4,"2019-09-29 15:05:53.743485","2019-09-29 15:05:53.743485",NULL,"府中2"
122,1,5,6,"府中コース1",3,"2019-09-29 15:05:53.743485","2019-09-29 15:05:53.743485",NULL,"府中1"
121,1,5,6,"板橋巡回2",2,"2019-09-18 15:05:53.743485","2019-09-18 15:05:53.743485",NULL,"板橋周辺区間"
4,1,5,6,"板橋巡回",1,"2019-09-17 00:00:00","2019-09-17 00:00:00",NULL,NULL
